name,address,size,section,source,kind
data_zero_004399D0,0x004399D0,0x1A20,.data,src/data/data_zero_004399D0.c,zero_initialized_untyped
gMvc2Dispatch_00445A20,0x00445A20,0x400,.rodata,src/data/mvc2_dispatch_00445A20.c,dispatch_table
data_zero_00465020,0x00465020,0x240,.data,src/data/data_zero_00465020.c,zero_initialized_untyped
data_zero_0047C620,0x0047C620,0xACC0,.data,src/data/data_zero_0047C620.c,zero_initialized_untyped
data_zero_00487340,0x00487340,0xFD0,.data,src/data/data_zero_00487340.c,zero_initialized_untyped
data_zero_00489814,0x00489814,0x4384,.data,src/data/data_zero_00489814.c,zero_initialized_untyped
data_zero_0048E320,0x0048E320,0x25B4,.data,src/data/data_zero_0048E320.c,zero_initialized_untyped
data_zero_004A6F80,0x004A6F80,0x100,.data,src/data/data_zero_004A6F80.c,zero_initialized_untyped
data_zero_004A7950,0x004A7950,0x1630,.data,src/data/data_zero_004A7950.c,zero_initialized_untyped
gMvc2Dispatch_0043CB70,0x0043CB70,0x34,.rodata,src/data/mvc2_dispatch_0043CB70.c,dispatch_table
gMvc2ActionDispatch_004BA540,0x004BA540,0x20,.rodata,src/data/mvc2_action_dispatch_004BA540.c,code_pointer_vector
jtbl_004ACA80,0x004ACA80,0x164,.rodata,src/data/jtbl_004ACA80.c,parser_character_dispatch
gIdentity3x3_00464EEC,0x00464EEC,0x24,.rodata,src/data/identity_00464EEC.c,identity_matrix_f32
gMvc2ModeHandlerTable_004490C0,0x004490C0,0x160,.rodata,src/data/mvc2_mode_handler_table_004490C0.c,mode_handler_dispatch
gMvc2EventDispatch_0043CBB0,0x0043CBB0,0x34,.rodata,src/data/mvc2_event_dispatch_0043CBB0.c,event_callback_dispatch
gMvc2ModeSelectDispatch_0043CCE0,0x0043CCE0,0x24,.rodata,src/data/mvc2_mode_select_dispatch_0043CCE0.c,mode_select_dispatch
