name,address,size,end,classification,confidence
func_00100000,0x00100000,0x4,0x00100004,code,spimdisasm-explicit-size-before-first-data
_start,0x00100008,0x1C0,0x001001C8,code,spimdisasm-explicit-size-before-first-data
func_001001C8,0x001001C8,0x8,0x001001D0,code,spimdisasm-explicit-size-before-first-data
func_001001D0,0x001001D0,0x54,0x00100224,code,spimdisasm-explicit-size-before-first-data
func_00100230,0x00100230,0xC,0x0010023C,code,spimdisasm-explicit-size-before-first-data
func_00100240,0x00100240,0x20,0x00100260,code,spimdisasm-explicit-size-before-first-data
func_00100260,0x00100260,0x24,0x00100284,code,spimdisasm-explicit-size-before-first-data
func_00100290,0x00100290,0x20,0x001002B0,code,spimdisasm-explicit-size-before-first-data
func_001002B0,0x001002B0,0x24,0x001002D4,code,spimdisasm-explicit-size-before-first-data
func_001002D8,0x001002D8,0x190,0x00100468,code,spimdisasm-explicit-size-before-first-data
func_00100468,0x00100468,0xC,0x00100474,code,spimdisasm-explicit-size-before-first-data
func_00100478,0x00100478,0x68,0x001004E0,code,spimdisasm-explicit-size-before-first-data
func_001004E0,0x001004E0,0xA0,0x00100580,code,spimdisasm-explicit-size-before-first-data
func_00100580,0x00100580,0x10,0x00100590,code,spimdisasm-explicit-size-before-first-data
func_00100590,0x00100590,0x374,0x00100904,code,spimdisasm-explicit-size-before-first-data
func_00100908,0x00100908,0xBC,0x001009C4,code,spimdisasm-explicit-size-before-first-data
func_001009C8,0x001009C8,0xC8,0x00100A90,code,spimdisasm-explicit-size-before-first-data
func_00100A90,0x00100A90,0x1E4,0x00100C74,code,spimdisasm-explicit-size-before-first-data
func_00100C78,0x00100C78,0x104,0x00100D7C,code,spimdisasm-explicit-size-before-first-data
func_00100D80,0x00100D80,0xE8,0x00100E68,code,spimdisasm-explicit-size-before-first-data
func_00100E68,0x00100E68,0x94,0x00100EFC,code,spimdisasm-explicit-size-before-first-data
func_00100F00,0x00100F00,0x314,0x00101214,code,spimdisasm-explicit-size-before-first-data
func_00101218,0x00101218,0x1E4,0x001013FC,code,spimdisasm-explicit-size-before-first-data
func_00101400,0x00101400,0x140,0x00101540,code,spimdisasm-explicit-size-before-first-data
func_00101540,0x00101540,0x17C,0x001016BC,code,spimdisasm-explicit-size-before-first-data
func_001016C0,0x001016C0,0x68C,0x00101D4C,code,spimdisasm-explicit-size-before-first-data
func_00101D50,0x00101D50,0xA0,0x00101DF0,code,spimdisasm-explicit-size-before-first-data
func_00101DF0,0x00101DF0,0x88,0x00101E78,code,spimdisasm-explicit-size-before-first-data
func_00101E78,0x00101E78,0x1E0,0x00102058,code,spimdisasm-explicit-size-before-first-data
func_00102058,0x00102058,0x88,0x001020E0,code,spimdisasm-explicit-size-before-first-data
func_001020E0,0x001020E0,0x2E4,0x001023C4,code,spimdisasm-explicit-size-before-first-data
func_001023C8,0x001023C8,0x5C,0x00102424,code,spimdisasm-explicit-size-before-first-data
func_00102428,0x00102428,0x70,0x00102498,code,spimdisasm-explicit-size-before-first-data
func_00102498,0x00102498,0x84,0x0010251C,code,spimdisasm-explicit-size-before-first-data
func_00102520,0x00102520,0x28,0x00102548,code,spimdisasm-explicit-size-before-first-data
func_00102548,0x00102548,0x34,0x0010257C,code,spimdisasm-explicit-size-before-first-data
func_00102580,0x00102580,0x28,0x001025A8,code,spimdisasm-explicit-size-before-first-data
func_001025A8,0x001025A8,0xDC,0x00102684,code,spimdisasm-explicit-size-before-first-data
func_00102688,0x00102688,0x1D8,0x00102860,code,spimdisasm-explicit-size-before-first-data
func_00102860,0x00102860,0x38,0x00102898,code,spimdisasm-explicit-size-before-first-data
func_00102898,0x00102898,0x14,0x001028AC,code,spimdisasm-explicit-size-before-first-data
func_001028B0,0x001028B0,0x68,0x00102918,code,spimdisasm-explicit-size-before-first-data
func_00102918,0x00102918,0x74,0x0010298C,code,spimdisasm-explicit-size-before-first-data
func_00102990,0x00102990,0x74,0x00102A04,code,spimdisasm-explicit-size-before-first-data
func_00102A08,0x00102A08,0x48,0x00102A50,code,spimdisasm-explicit-size-before-first-data
func_00102A50,0x00102A50,0x7C,0x00102ACC,code,spimdisasm-explicit-size-before-first-data
func_00102AD0,0x00102AD0,0x80,0x00102B50,code,spimdisasm-explicit-size-before-first-data
func_00102B50,0x00102B50,0x38,0x00102B88,code,spimdisasm-explicit-size-before-first-data
func_00102B88,0x00102B88,0x34,0x00102BBC,code,spimdisasm-explicit-size-before-first-data
func_00102BC0,0x00102BC0,0x98,0x00102C58,code,spimdisasm-explicit-size-before-first-data
func_00102C58,0x00102C58,0x14,0x00102C6C,code,spimdisasm-explicit-size-before-first-data
func_00102C70,0x00102C70,0x2C,0x00102C9C,code,spimdisasm-explicit-size-before-first-data
func_00102CA0,0x00102CA0,0x44,0x00102CE4,code,spimdisasm-explicit-size-before-first-data
func_00102CE8,0x00102CE8,0x1C,0x00102D04,code,spimdisasm-explicit-size-before-first-data
func_00102D08,0x00102D08,0x24,0x00102D2C,code,spimdisasm-explicit-size-before-first-data
func_00102D30,0x00102D30,0x3C,0x00102D6C,code,spimdisasm-explicit-size-before-first-data
func_00102D70,0x00102D70,0x44,0x00102DB4,code,spimdisasm-explicit-size-before-first-data
func_00102DB8,0x00102DB8,0x6C,0x00102E24,code,spimdisasm-explicit-size-before-first-data
func_00102E28,0x00102E28,0x20,0x00102E48,code,spimdisasm-explicit-size-before-first-data
func_00102E48,0x00102E48,0x20,0x00102E68,code,spimdisasm-explicit-size-before-first-data
func_00102E68,0x00102E68,0x28,0x00102E90,code,spimdisasm-explicit-size-before-first-data
