name,address,size,kind,compiler_placement,confidence
data_zero_004399D0,0x004399D0,0x1A20,zero_initialized_untyped,mwcc_c_16_aligned,medium
data_zero_0043B4B4,0x0043B4B4,0x244,zero_initialized_untyped,assembly_byte_aligned,medium
data_zero_0043BFB4,0x0043BFB4,0x3BC,zero_initialized_untyped,assembly_byte_aligned,medium
data_zero_00465020,0x00465020,0x240,zero_initialized_untyped,mwcc_c_16_aligned,medium
data_zero_00478E78,0x00478E78,0x180,zero_initialized_untyped,assembly_byte_aligned,medium
data_zero_004791F8,0x004791F8,0xC00,zero_initialized_untyped,assembly_byte_aligned,medium
data_zero_00479DFC,0x00479DFC,0x2814,zero_initialized_untyped,assembly_byte_aligned,medium
data_zero_0047C620,0x0047C620,0xACC0,zero_initialized_untyped,mwcc_c_16_aligned,medium
data_zero_00487340,0x00487340,0xFD0,zero_initialized_untyped,mwcc_c_16_aligned,medium
data_zero_0048838C,0x0048838C,0xE1C,zero_initialized_untyped,assembly_byte_aligned,medium
data_zero_0048921C,0x0048921C,0x3B4,zero_initialized_untyped,assembly_byte_aligned,medium
data_zero_004895D4,0x004895D4,0x234,zero_initialized_untyped,assembly_byte_aligned,medium
data_zero_00489814,0x00489814,0x4384,zero_initialized_untyped,mwcc_c_16_aligned,medium
data_zero_0048E320,0x0048E320,0x25B4,zero_initialized_untyped,mwcc_c_16_aligned,medium
data_zero_004908F8,0x004908F8,0x48C,zero_initialized_untyped,assembly_byte_aligned,medium
data_zero_00490DA8,0x00490DA8,0x400C,zero_initialized_untyped,assembly_byte_aligned,medium
data_zero_00494DD8,0x00494DD8,0xC00,zero_initialized_untyped,assembly_byte_aligned,medium
data_zero_00495BB4,0x00495BB4,0xCA8,zero_initialized_untyped,assembly_byte_aligned,medium
data_zero_004A6F80,0x004A6F80,0x100,zero_initialized_untyped,mwcc_c_16_aligned,medium
data_zero_004A7950,0x004A7950,0x1630,zero_initialized_untyped,mwcc_c_16_aligned,medium
